submissionid,submissiondatetime,deviceid,username,Survey_Start_Time,Study_Area,Other_Study_Area,User_s_,Plot_ID,Number_probe_of_extensions_used_,Tare_Weight__g_,Pre_Survey_Notes,GNSS_Used_,GNSS_Setup,Other_GNSS_Setup,GNSS_Status,GNSS_Height_Rover_to_Snow__cm_,Sampling_Design,Point_Observation.Date___Time_of_Point_Observation,Point_Observation.Approx__Location,Point_Observation.Type_of_Plot,Point_Observation.Cardinal_Direction,Point_Observation.Distance_From_Centre__m_,Point_Observation.Custom_Distance_From_Centre__m_,Point_Observation.Sample_Type,Point_Observation.Multi_Part_Core_,Point_Observation.Core_Section_Number,Point_Observation.Depth__cm_,Point_Observation.Depth__cm_:timestamp,Point_Observation.Depth_Final__cm_,Point_Observation.Core_Length__cm_,Point_Observation.Plug__cm_,Point_Observation.Mass___Tube__g_,Point_Observation.Mass_Final__g_,Point_Observation.Retrieval____,Point_Observation.SWE__cm_,Point_Observation.Density,Point_Observation.Sample_Rating,Point_Observation.Point_Observation_Notes,Point_Observation.Picture,Snow_Pit_Measurenent.Distance_from_centre_of_plot__m_,Snow_Pit_Measurenent.Depth_above_ground__cm_,Snow_Pit_Measurenent.Temperature___C_,Snow_Pit_Measurenent.Density_Notes,Survey_End_TIme
56904472,2021-04-21 13:35:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,4/21/2021 13:31,Other,The moon,Ab,Testing123,1,850,,No already surveyed,,,,,,,,Cardinal 10 m,N,2.5,,Depth,,,159,4/21/2021 13:32,201,,,,,,,,,,,,,,,
56904472,2021-04-21 13:35:42 -07:00,iPad_186771EF-CF83-474C-B7BE-2AC725137EB9,CHRL - Travis Rice,4/21/2021 13:31,Other,The moon,Ab,Testing123,1,850,,No already surveyed,,,,,,,,Cardinal 10 m,E,2.5,,Density,yes,1a,150,4/21/2021 13:33,,130,0,1110,260,87,18.767,0.125,Excellent,This form is beautiful!,https://drive.google.com/uc?id=10fB8zhQuQZlWBJo7GrclchV0SIeOwPvI,,,,,
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 8:30,Other,Seymour - Loch Lomond ,Peter Marshall,S1O,10,0,Dense wind loaded ridge top ,Yes surveying today,Stonex,,FIX,156,,4/22/2021 9:01,,Cardinal 10 m,Centre,,,Depth,,,292,4/22/2021 9:02,712,,,,,,,,Good,,,,,,,4/23/2021 8:30
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 8:30,Other,Seymour - Loch Lomond ,Peter Marshall,S1O,10,0,Dense wind loaded ridge top ,Yes surveying today,Stonex,,FIX,156,,4/22/2021 9:02,,Cardinal 10 m,N,2.5,,Depth,,,250,4/22/2021 9:03,670,,,,,,,,Excellent,,,,,,,4/23/2021 8:30
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 8:30,Other,Seymour - Loch Lomond ,Peter Marshall,S1O,10,0,Dense wind loaded ridge top ,Yes surveying today,Stonex,,FIX,156,,4/22/2021 9:04,,Cardinal 10 m,N,5,,Depth,,,217,4/22/2021 9:05,637,,,,,,,,Excellent,,,,,,,4/23/2021 8:30
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 8:30,Other,Seymour - Loch Lomond ,Peter Marshall,S1O,10,0,Dense wind loaded ridge top ,Yes surveying today,Stonex,,FIX,156,,4/22/2021 9:07,,Cardinal 10 m,S,2.5,,Depth,,,315,4/22/2021 9:08,735,,,,,,,,Fair,,,,,,,4/23/2021 8:30
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 8:30,Other,Seymour - Loch Lomond ,Peter Marshall,S1O,10,0,Dense wind loaded ridge top ,Yes surveying today,Stonex,,FIX,156,,4/22/2021 9:10,,Cardinal 10 m,S,5,,Depth,,,318,4/22/2021 9:10,738,,,,,,,,Fair,Just past probe tip,,,,,,4/23/2021 8:30
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 8:30,Other,Seymour - Loch Lomond ,Peter Marshall,S1O,10,0,Dense wind loaded ridge top ,Yes surveying today,Stonex,,FIX,156,,4/22/2021 9:14,,Cardinal 10 m,E,2.5,,Depth,,,320,4/22/2021 9:14,740,,,,,,,,Fair,,,,,,,4/23/2021 8:30
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 8:30,Other,Seymour - Loch Lomond ,Peter Marshall,S1O,10,0,Dense wind loaded ridge top ,Yes surveying today,Stonex,,FIX,156,,4/22/2021 8:30,"lat=49.608106, long=-123.055810, alt=1603.091016, hAccuracy=4.618857, vAccuracy=3.534219, timestamp=2021-04-22T16:15:07Z",Cardinal 10 m,E,5,,Depth,,,328,4/22/2021 9:17,748,,,,,,,,Fair,,,,,,,4/23/2021 8:30
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 8:30,Other,Seymour - Loch Lomond ,Peter Marshall,S1O,10,0,Dense wind loaded ridge top ,Yes surveying today,Stonex,,FIX,156,,4/22/2021 9:18,,Cardinal 10 m,W,2.5,,Depth,,,325,4/22/2021 9:18,745,,,,,,,,Fair,,,,,,,4/23/2021 8:30
56986801,2021-04-23 08:31:18 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 8:30,Other,Seymour - Loch Lomond ,Peter Marshall,S1O,10,0,Dense wind loaded ridge top ,Yes surveying today,Stonex,,FIX,156,,4/22/2021 9:20,,Cardinal 10 m,W,5,,Depth,,,322,4/22/2021 9:20,742,,,,,,,,Fair,,,,,,,4/23/2021 8:30
56986937,2021-04-23 08:33:59 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:08,Other,Loch Lomond ,Peter M,E2S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:09,,Cardinal 10 m,Centre,,,Depth,,,275,4/22/2021 10:09,485,,,,,,,,Excellent,,,,,,,4/23/2021 8:33
56986937,2021-04-23 08:33:59 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:08,Other,Loch Lomond ,Peter M,E2S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:09,,Cardinal 10 m,N,2.5,,Depth,,,223,4/22/2021 10:10,433,,,,,,,,Excellent,,,,,,,4/23/2021 8:33
56986937,2021-04-23 08:33:59 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:08,Other,Loch Lomond ,Peter M,E2S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:10,,Cardinal 10 m,N,5,,Depth,,,170,4/22/2021 10:11,380,,,,,,,,Fair,Likely on small tree,,,,,,4/23/2021 8:33
56986937,2021-04-23 08:33:59 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:08,Other,Loch Lomond ,Peter M,E2S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:12,,Cardinal 10 m,S,2.5,,Depth,,,272,4/22/2021 10:13,482,,,,,,,,Good,,,,,,,4/23/2021 8:33
56986937,2021-04-23 08:33:59 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:08,Other,Loch Lomond ,Peter M,E2S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:13,,Cardinal 10 m,S,5,,Depth,,,314,4/22/2021 10:17,524,,,,,,,,Excellent,,,,,,,4/23/2021 8:33
56986937,2021-04-23 08:33:59 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:08,Other,Loch Lomond ,Peter M,E2S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:20,,Cardinal 10 m,E,2.5,,Depth,,,247,4/22/2021 10:21,457,,,,,,,,Excellent,,,,,,,4/23/2021 8:33
56986937,2021-04-23 08:33:59 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:08,Other,Loch Lomond ,Peter M,E2S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:21,,Cardinal 10 m,E,5,,Depth,,,176,4/22/2021 10:22,386,,,,,,,,Excellent,,,,,,,4/23/2021 8:33
56986937,2021-04-23 08:33:59 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:08,Other,Loch Lomond ,Peter M,E2S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:22,,Cardinal 10 m,W,2.5,,Depth,,,214,4/22/2021 10:23,424,,,,,,,,Excellent,,,,,,,4/23/2021 8:33
56986937,2021-04-23 08:33:59 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:08,Other,Loch Lomond ,Peter M,E2S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:24,,Cardinal 10 m,W,5,,Depth,,,252,4/22/2021 10:24,462,,,,,,,,,,,,,,,4/23/2021 8:33
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:48,,Cardinal 10 m,Centre,,,Depth,,,225,4/22/2021 10:49,435,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 10:48,,Cardinal 10 m,N,2.5,,Depth,,,220,4/22/2021 10:48,430,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:00,,Cardinal 10 m,N,5,,Depth,,,245,4/22/2021 11:01,455,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:02,,Cardinal 10 m,N,7.5,,Depth,,,219,4/22/2021 11:02,429,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:02,,Cardinal 10 m,N,10,,Depth,,,215,4/22/2021 11:03,425,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:08,,Cardinal 10 m,S,2.5,,Depth,,,175,4/22/2021 11:08,385,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:09,,Cardinal 10 m,S,5,,Depth,,,256,4/22/2021 11:09,466,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:09,,Cardinal 10 m,S,10,,Depth,,,256,4/22/2021 11:12,466,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:17,,Cardinal 10 m,S,7.5,,Depth,,,257,4/22/2021 11:17,467,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:20,,Cardinal 10 m,E,5,,Depth,,,212,4/22/2021 11:20,422,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:20,,Cardinal 10 m,E,2.5,,Depth,,,226,4/22/2021 11:21,436,,,,,,,,,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:21,,Cardinal 10 m,E,7.5,,Depth,,,243,4/22/2021 11:22,453,,,,,,,,,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:34,,Cardinal 10 m,E,10,,Depth,,,288,4/22/2021 11:35,498,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:35,,Cardinal 10 m,W,2.5,,Depth,,,224,4/22/2021 11:36,434,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:36,,Cardinal 10 m,W,5,,Depth,,,195,4/22/2021 11:37,405,,,,,,,,,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:37,,Cardinal 10 m,W,7.5,,Depth,,,212,4/22/2021 11:38,422,,,,,,,,Excellent,,,,,,,4/22/2021 11:40
56987103,2021-04-23 08:38:50 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 10:47,Other,Loch Lomond ,Peter m,E3S,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 11:38,,Cardinal 10 m,W,10,,Depth,,,196,4/22/2021 11:41,406,,,,,,,,,,,,,,,4/22/2021 11:40
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 12:44,,Cardinal 10 m,Centre,,,Depth,,,280,4/22/2021 12:44,364,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 12:45,,Cardinal 10 m,S,2.5,,Depth,,,269,4/22/2021 12:45,353,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 12:45,,Cardinal 10 m,S,5,,Depth,,,276,4/22/2021 12:46,360,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 12:46,,Cardinal 10 m,S,7.5,,Depth,,,268,4/22/2021 12:46,352,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 12:46,,Cardinal 10 m,S,10,,Depth,,,245,4/22/2021 12:47,329,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:03,,Cardinal 10 m,N,2.5,,Depth,,,269,4/22/2021 13:04,353,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:04,,Cardinal 10 m,N,5,,Depth,,,263,4/22/2021 13:04,347,,,,,,,,,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:04,,Cardinal 10 m,N,7.5,,Depth,,,254,4/22/2021 13:04,338,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:05,,Cardinal 10 m,N,10,,Depth,,,235,4/22/2021 13:05,319,,,,,,,,,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:05,,Cardinal 10 m,W,2.5,,Depth,,,274,4/22/2021 13:05,358,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:05,,Cardinal 10 m,W,5,,Depth,,,285,4/22/2021 13:06,369,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:06,,Cardinal 10 m,W,7.5,,Depth,,,253,4/22/2021 13:06,337,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:06,,Cardinal 10 m,W,10,,Depth,,,250,4/22/2021 13:07,334,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:07,,Cardinal 10 m,E,2.5,,Depth,,,278,4/22/2021 13:08,362,,,,,,,,,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:09,,Cardinal 10 m,E,5,,Depth,,,269,4/22/2021 13:09,353,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:09,,Cardinal 10 m,E,7.5,,Depth,,,299,4/22/2021 13:09,383,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987234,2021-04-23 08:43:47 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 12:43,Other,Loch Lomond ,Peter M,SF4,2,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:09,,Cardinal 10 m,E,10,,Depth,,,215,4/22/2021 13:10,299,,,,,,,,Excellent,,,,,,,4/22/2021 13:20
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:55,,Cardinal 10 m,Centre,,,Depth,,,200,4/22/2021 13:55,410,,,,,,,,Excellent,,,,,,,4/22/2021 14:08
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:56,,Cardinal 10 m,E,2.5,,Depth,,,180,4/22/2021 13:56,390,,,,,,,,Excellent,,,,,,,4/22/2021 14:08
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:56,,Cardinal 10 m,E,5,,Depth,,,203,4/22/2021 13:57,413,,,,,,,,Excellent,,,,,,,4/22/2021 14:08
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:57,,Cardinal 10 m,E,7.5,,Depth,,,186,4/22/2021 13:58,396,,,,,,,,,,,,,,,4/22/2021 14:08
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:58,,Cardinal 10 m,E,10,,Depth,,,204,4/22/2021 13:58,414,,,,,,,,Excellent,,,,,,,4/22/2021 14:08
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:59,,Cardinal 10 m,W,2.5,,Depth,,,193,4/22/2021 13:59,403,,,,,,,,Excellent,,,,,,,4/22/2021 14:08
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 13:59,,Cardinal 10 m,W,5,,Depth,,,171,4/22/2021 14:00,381,,,,,,,,Excellent,,,,,,,4/22/2021 14:08
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 14:00,,Cardinal 10 m,W,7.5,,Depth,,,125,4/22/2021 14:01,335,,,,,,,,Excellent,,,,,,,4/22/2021 14:08
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 14:01,,Cardinal 10 m,W,10,,Depth,,,88,4/22/2021 14:01,298,,,,,,,,Excellent,Tree well,,,,,,4/22/2021 14:08
56987350,2021-04-23 08:47:36 -07:00,iPhone_B06FBAB7-FF7C-4384-A601-16BF7711A47E,CHRL - Peter Marshall,4/22/2021 13:53,Other,Loch Lomond ,Peter M,N5F,5,0,,Yes surveying today,Stonex,,FIX,156,,4/22/2021 14:03,,Cardinal 10 m,S,2.5,,Depth,,,197,4/22/2021 14:04,407,,,,,,,,Excellent,,,,,,,4/22/2021 14:08
